,./nmf_tap_rev_unf.exe,./nmf_tap_for_unf.exe,./nmf_tap_rev.exe,./nmf_tap_for.exe,python ./NMF.py exponential,./nmf_diff.exe,./nmf_diff_dps.exe
100,2.41E-4,0.018511,6.3E-5,0.01212,2.02E-4,7.2E-5,7.1E-5
200,5.79E-4,0.075409,1.57E-4,0.047792,3.78E-4,1.41E-4,1.45E-4
400,0.001043,0.299834,2.74E-4,0.188736,5.55E-4,2.77E-4,2.86E-4
800,0.002226,1.255491,5.68E-4,0.779595,9.13E-4,5.56E-4,5.82E-4
1600,0.004931,5.569214,9.95E-4,3.082886,0.001642,0.001043,0.001059
3200,0.01009,23.041,0.002323,12.628076,0.003085,0.002335,0.002771
